Date,Check No.,Description,Amount
2/20/2025,,ONLINE PAYMENT - THANK YOU,-1336.18
3/12/2025,,ONLINE PAYMENT - THANK YOU,-552.86
3/27/2025,,ONLINE PAYMENT - THANK YOU,-1110.92
4/17/2025,,ONLINE PAYMENT - THANK YOU,-1135.65
1/7/2025,,ONLINE PAYMENT - THANK YOU,-719.79
4/2/2025,,DIAGNOSTIC SOLUTIONSPalm Coast,389
6/2/2025,,DIMITRINA VIZINAS LTELMHURST,400
10/20/2025,,DIMITRINA VIZINAS LTELMHURST,400
3/3/2025,,DR CHRIS METCALF LTDOAK BROOK,254
9/9/2025,,DR CHRIS METCALF LTDOAK BROOK,236
10/27/2025,,ENDO-MET LABORATORIE602-995-1581,374.6
9/19/2025,,FEDEX OFFICE OAK BROOK,10.95
10/10/2025,,FEDEX OFFICE OAK BROOK,95.43
10/10/2025,,OFFICE DEPOT #3376 0OAKBROOK TERR,1.59
10/11/2025,,US TREAS TAX PYMT 00FRANKLIN,-61.59
10/11/2025,,US TREAS TAX PYMT 00FRANKLIN,61.59
10/7/2025,,US TREAS TAX PYMT 00FRANKLIN,61.59
3/12/2025,,CLARK COUNTY CLERK 702-671-0500,21.65
9/21/2025,,COUNTRYSIDE VETERINACOUNTRYSIDE,16
9/17/2025,,COUNTRYSIDE VETERINACOUNTRYSIDE,274
10/17/2025,,COUNTRYSIDE VETERINACOUNTRYSIDE,102.8
10/13/2025,,COUNTRYSIDE VETERINACOUNTRYSIDE,274
3/28/2025,,VCAANIMALHOSP#4041 WESTMONT,697.63
6/19/2025,,VCAANIMALHOSP#4041 WESTMONT,173.9
6/28/2025,,PETSMART DOWNERS GROVE,88.54
7/5/2025,,AMERICAN AIRLINES FT WORTH,27.09
12/2/2025,,AplPay AMERICAN AIRLFT WORTH,133.34
12/2/2025,,AplPay AMERICAN AIRLFT WORTH,138.67
12/22/2025,,AplPay UNITED AIRLINHOUSTON,40
12/22/2025,,AplPay UNITED AIRLINHOUSTON,40
11/16/2025,,CLEAR *CLEARME.COM NEW YORK,209
11/25/2025,,Hotel Distil AutogrLouisville,353.03
3/9/2025,,THE BETSY HOTEL - F&MIAMI BEACH,9.16
3/8/2025,,THE BETSY HOTEL - F&MIAMI BEACH,9.16
2/20/2025,,THE LOST RESOR BOOKITUCSON,326.26
10/23/2025,,THE LOST RESOR BOOKITUCSON,326.26
3/25/2025,,DELTA SONIC BUFFALO,12.5
2/16/2025,,PARKINGMETER4 877242CHICAGO,5.06
3/23/2025,,PARKINGMETER4 877242CHICAGO,9.5
11/22/2025,,AplPay DAISIES RESTACHICAGO,30
12/19/2025,,AplPay DAISIES RESTACHICAGO,-30
12/18/2025,,AplPay DAISIES RESTACHICAGO,30
12/11/2025,,AplPay DAISIES RESTACHICAGO,-30
12/10/2025,,AplPay DAISIES RESTACHICAGO,30
11/29/2025,,AplPay DAISIES RESTACHICAGO,30
12/14/2025,,AplPay BT*LOU MALNATBUFFALO GROVE,25.86
10/9/2025,,BT*LOU MALNATI'S PIZBUFFALO GROVE,27.41
11/23/2025,,BAVETTESSTEAKHOUSE.CCHICAGO,4.98
12/14/2025,,BAVETTESSTEAKHOUSE.CCHICAGO,4.98
12/14/2025,,BAVETTESSTEAKHOUSE.CCHICAGO,4.98
12/13/2025,,BAVETTESSTEAKHOUSE.CCHICAGO,4.98
11/15/2025,,CICCO MIO CHICAGO,9.99
12/21/2025,,CICCO MIO CHICAGO,9.99
12/13/2025,,CICCO MIO CHICAGO,9.99
11/22/2025,,TRIVOLITAVERN.COM CHICAGO,7.48
11/14/2025,,TRIVOLITAVERN.COM CHICAGO,-9.97
11/13/2025,,TRIVOLITAVERN.COM CHICAGO,4.98
11/8/2025,,TRIVOLITAVERN.COM CHICAGO,4.98
11/7/2025,,TRIVOLITAVERN.COM CHICAGO,9.97
12/11/2025,,TRIVOLITAVERN.COM CHICAGO,9.99
11/22/2025,,WWW.GILTBARCHICAGO.CCHICAGO,4.98
12/4/2025,,WWW.GILTBARCHICAGO.CCHICAGO,-4.98
6/18/2025,,TST* BLACKBERRY MARKOAK BROOK,23.64
6/27/2025,,TST* BLACKBERRY MARKOAK BROOK,39.41
11/3/2025,,TST* BLACKBERRY MARKOAK BROOK,34.08
11/20/2025,,TST* LEYE - BEATRIX OAK BROOK,20.77
8/24/2025,,TST* GYU-KAKU - AUSTAUSTIN,54.05
8/22/2025,,TST* MOTHERS RUIN - AUSTIN,16.67
8/21/2025,,TST* TERRY BLACKS BAAUSTIN,29.72
2/16/2025,,TST* VINTAGE BREWINGMADISON,46.97
8/23/2025,,TST* WHITE HORSE - NAUSTIN,35.54
11/23/2025,,TST* PERENN BAKERY -FRANKLIN,50.99
11/30/2025,,TST* SAWADA COFFEE 0CHICAGO,17.61
10/23/2025,,WWW.BREWPOINTCOFFEE.ELMHURST,16.26
11/18/2025,,WWW.BREWPOINTCOFFEE.ELMHURST,7.82
11/25/2025,,WWW.BREWPOINTCOFFEE.ELMHURST,8.41
8/21/2025,,HOUNDSTOOTH COFFEE Austin,16.75
12/9/2025,,SP INTELLIGENTSIA COCHICAGO,53.69
1/31/2025,,COFFEE CAMP AIR KANAGAWA,9.87
1/31/2025,,COFFEE CAMP AIR KANAGAWA,12.06
2/1/2025,,STARBUCKS OLIVELOUNGTOKYO,3.88
5/13/2025,,STARBUCKS REEF NASSAU,35.27
5/11/2025,,STARBUCKS REEF NASSAU,37.47
9/1/2025,,VILLA PERK COFFEE COVILLA PARK,14.36
1/29/2025,,IPPODO TEA KYOTO,12.54
5/10/2025,,NOBU NASSAU,56.25
5/29/2025,,SWEETGREEN OAKBROOK OAK BROOK,35.95
11/30/2025,,ARMITAGEALEHOUSE.COMCHICAGO,5.01
11/22/2025,,LEIPERS FORK DISTILLFRANKLIN,117.87
10/13/2025,,IMPECCABLE CHICKEN CLOS ANGELES,-101.15
10/5/2025,,IMPECCABLE CHICKEN CLOS ANGELES,101.15
9/1/2025,,ANDY'S - LAGRANGE 00LA GRANGE PAR,18.13
12/22/2025,,AplPay UBER EATS help.uber.com,51.92
12/14/2025,,AplPay UBER EATS help.uber.com,51.92
12/7/2025,,AplPay UBER EATS help.uber.com,2
2/25/2025,,WHOLEFDS ELM #10569 ELMHURST,307.49
5/21/2025,,WHOLEFDS ELM #10569 ELMHURST,145.36
6/10/2025,,WHOLEFDS ELM #10569 ELMHURST,252.91
6/7/2025,,WHOLEFDS ELM #10569 ELMHURST,85.93
6/4/2025,,WHOLEFDS ELM #10569 ELMHURST,65.23
5/29/2025,,WHOLEFDS ELM #10569 ELMHURST,129.35
7/20/2025,,WHOLEFDS ELM #10569 ELMHURST,289.42
7/13/2025,,WHOLEFDS ELM #10569 ELMHURST,235.58
7/6/2025,,WHOLEFDS ELM #10569 ELMHURST,255.49
6/24/2025,,WHOLEFDS ELM #10569 ELMHURST,189.57
8/17/2025,,WHOLEFDS ELM #10569 ELMHURST,221.62
8/9/2025,,WHOLEFDS ELM #10569 ELMHURST,361.39
7/27/2025,,WHOLEFDS ELM #10569 ELMHURST,191.36
9/9/2025,,WHOLEFDS ELM #10569 ELMHURST,254.55
8/31/2025,,WHOLEFDS ELM #10569 ELMHURST,240.59
10/20/2025,,WHOLEFDS ELM #10569 ELMHURST,46.24
10/13/2025,,WHOLEFDS ELM #10569 ELMHURST,260.7
10/6/2025,,WHOLEFDS ELM #10569 ELMHURST,85.69
11/11/2025,,WHOLEFDS ELM #10569 ELMHURST,158.29
11/3/2025,,WHOLEFDS ELM #10569 ELMHURST,294.21
10/27/2025,,WHOLEFDS ELM #10569 ELMHURST,12.97
12/16/2025,,WHOLEFDS ELM #10569 ELMHURST,150.63
12/10/2025,,WHOLEFDS ELM #10569 ELMHURST,167.85
12/3/2025,,WHOLEFDS ELM #10569 ELMHURST,171.21
11/24/2025,,WHOLEFDS ELM #10569 ELMHURST,239.79
6/21/2025,,WHOLEFDS HIN 10364 0HINSDALE,77.24
12/18/2025,,WHOLEFDS HIN 10364 0HINSDALE,41.22
11/28/2025,,WHOLEFDS HIN 10364 0HINSDALE,52.34
5/5/2025,,WHOLEFDS WBR #10573 WILLOWBROOK,123.13
11/27/2025,,JEWEL OSCO 0068 0068WESTMONT,25.92
11/26/2025,,JEWEL OSCO 0068 0068WESTMONT,14.72
11/14/2025,,JEWEL OSCO 2444 2444ELMHURST,10.16
12/16/2025,,JEWEL OSCO 2444 2444ELMHURST,57.34
8/21/2025,,H-E-B #639 000000000AUSTIN,2.47
11/23/2025,,HUCK'S FOOD & FUEL SBOWLING GREEN,14.08
11/23/2025,,HUCK'S FOOD & FUEL SBOWLING GREEN,57.02
8/23/2025,,7-ELEVEN 36559 00073AUSTIN,2.7
12/11/2025,,ABERCROMBIE & FITCH NEW ALBANY,185.03
12/10/2025,,ABERCROMBIE & FITCH NEW ALBANY,41.12
12/1/2025,,AplPay ABERCROMBIE &NEW ALBANY,462.81
12/10/2025,,AplPay ARITZIA.COM 855-274-8942,127.5
12/5/2025,,AplPay ARITZIA.COM 855-274-8942,65.19
12/4/2025,,AplPay ARITZIA.COM 855-274-8942,137.21
11/20/2025,,AplPay ARITZIA.COM 855-274-8942,239.94
12/15/2025,,AplPay ARITZIA.COM 855-274-8942,118.25
12/11/2025,,AplPay ARITZIA.COM 855-274-8942,62.35
12/3/2025,,AplPay ARITZIA.COM 855-274-8942,40.85
12/1/2025,,AplPay ARITZIA.COM 855-274-8942,77.4
11/30/2025,,AplPay ARITZIA.COM 855-274-8942,118.68
11/25/2025,,AplPay ARITZIA.COM 855-274-8942,94.6
11/24/2025,,AplPay ARITZIA.COM 855-274-8942,73.1
11/24/2025,,AplPay ARITZIA.COM 855-274-8942,144.48
1/18/2025,,ARITZIA OAKBROOK CTROAK BROOK,76.33
1/11/2025,,ARITZIA OAKBROOK CTROAK BROOK,576.6
11/20/2025,,ARITZIA.COM 855-274-8942,143.64
12/18/2025,,ARITZIA.COM 855-274-8942,112.99
12/16/2025,,ARITZIA.COM 855-274-8942,44.26
12/4/2025,,ARITZIA.COM 855-274-8942,80.36
11/24/2025,,ARITZIA.COM 855-274-8942,131.44
12/2/2025,,ARITZIA.COM 855-274-8942,256.28
11/20/2025,,AplPay LULULEMON ATH(877)263-9300,52.68
11/20/2025,,AplPay LULULEMON ATH(877)263-9300,326.8
11/23/2025,,AplPay LULULEMON ATH(877)263-9300,264.45
12/9/2025,,AplPay NORDSTROM MARCEDAR RAPIDS,95.57
10/16/2025,,AplPay QUICKSILVER SLOUISVILLE,110.28
12/2/2025,,AplPay QUICKSILVER SLOUISVILLE,110.28
10/28/2025,,AMZ*3J1P8ORXM ORD NOEAST RUTHERFORD,6.99
12/23/2025,,AplPay AMZ*9M38R8V7TEAST RUTHERFORD,6.99
12/1/2025,,AplPay DHGATE.COM 20DHGATE.COM,15.33
12/1/2025,,AplPay DHGATE.COM 20DHGATE.COM,16.18
12/23/2025,,AplPay BT*TIKTOK SHOCULVER CITY,43.52
12/17/2025,,AplPay BT*TIKTOK SHOCULVER CITY,45.16
12/5/2025,,AplPay BT*TIKTOK SHOCULVER CITY,24.29
12/3/2025,,AplPay BT*TIKTOK SHOCULVER CITY,8.59
12/8/2025,,NIKE INC E-COMMERCE,134.38
6/27/2025,,DAVID'S BRIDAL AURORA,210.62
12/6/2025,,LA-Z-BOY FURNITURE MONROE,466.44
1/25/2025,,MEGA DON QUIJOTE SHI*,202.07
1/21/2025,,MEGA DON QUIJOTE SHI*,4.16
1/21/2025,,MEGA DON QUIJOTE SHI*,166.79
2/1/2025,,RAGTAG HARAJUKU TOKYO,175.38
10/13/2025,,HELIKON TEX 5182901777,148.4
5/9/2025,,PINKSUGARSHOP.CO 675MIAMI BEACH,12.99
12/1/2025,,SP DOLCEVITA.SEATTLE,69.75
12/2/2025,,AplPay SP EMIJAYINC LOS ANGELES,93.6
12/2/2025,,SP EMIJAYINC LOS ANGELES,37.6
11/28/2025,,SP EMIJAYINC LOS ANGELES,55.1
12/14/2025,,SP EBERJEY MIAMI,266.6
11/28/2025,,SP GOORIN BROS SAN FRANCISCO,99.62
12/17/2025,,SP KULANI KINIS SAN FRANCISCO,70.75
11/28/2025,,SP KULANI KINIS SAN FRANCISCO,160.84
12/9/2025,,SP SHOPBALA BROOKLYN,77.57
11/13/2025,,SP BYLT BASICS IRVINE,117.99
12/1/2025,,SP BURLAP BARREL NEW YORK,53.12
12/12/2025,,SP SUNRISE FLOUR MILNORTH BRANCH,100.99
12/10/2025,,SP CHIA.COM HILLSIDE,60.15
6/16/2025,,AESTHETIC BEAUTY LOUHIGHLAND PARK,380
12/4/2025,,AESTHETIC BEAUTY LOUHIGHLAND PARK,318
6/9/2025,,ALLERGAN 800-811-4148,113.42
3/4/2025,,AME STYLES Carpentersville,390
10/17/2025,,FSP*ALIA ROSE SALON WESTMONT,133.12
6/26/2025,,LYMPHATIC GLOW - MEDOakbrook Terrace,161.25
8/20/2025,,LYMPHATIC GLOW - MEDOakbrook Terrace,161.25
8/12/2025,,LYMPHATIC GLOW - MEDOakbrook Terrace,-161.25
7/27/2025,,LYMPHATIC GLOW - MEDOakbrook Terrace,161.25
11/25/2025,,AplPay REJUVENATE WECALGARY,244.7
11/25/2025,,SP ALASTIN SKINCARE CARLSBAD,146.74
10/22/2025,,TT NAILS WESTMONT,72
11/7/2025,,TT NAILS WESTMONT,65
12/18/2025,,TT NAILS WESTMONT,88
11/26/2025,,TT NAILS WESTMONT,85
2/5/2025,,TT NAILS 0001 WESTMONT,72
3/6/2025,,TT NAILS 0001 WESTMONT,120
2/21/2025,,TT NAILS 0001 WESTMONT,64.8
4/10/2025,,TT NAILS 0001 WESTMONT,51
3/24/2025,,TT NAILS 0001 WESTMONT,62
5/6/2025,,TT NAILS 0001 WESTMONT,196
6/19/2025,,TT NAILS 0001 WESTMONT,65
5/28/2025,,TT NAILS 0001 WESTMONT,55
7/8/2025,,TT NAILS 0001 WESTMONT,65
6/27/2025,,TT NAILS 0001 WESTMONT,60
8/13/2025,,TT NAILS 0001 WESTMONT,71
7/29/2025,,TT NAILS 0001 WESTMONT,130
9/18/2025,,TT NAILS 0001 WESTMONT,65
9/2/2025,,TT NAILS 0001 WESTMONT,65
10/5/2025,,TT NAILS 0001 WESTMONT,131
1/15/2025,,TT NAILS 0001 WESTMONT,136
12/28/2024,,TT NAILS 0001 WESTMONT,55
12/19/2025,,U2 NAIL STUDIO. CHICAGO RIDGE,45
2/7/2025,,CHANEL.COM NEW YORK,456.88
1/17/2025,,CHANEL.COM NEW YORK,-536.56
6/29/2025,,SEPHORA OAK BROOK,25.8
12/9/2025,,AplPay SEPHORA.COM 877-SEPHORA,38.7
12/9/2025,,AplPay SEPHORA.COM 877-SEPHORA,160.82
12/6/2025,,AplPay SEPHORA.COM 877-SEPHORA,21.5
12/6/2025,,AplPay SEPHORA.COM 877-SEPHORA,37.63
12/2/2025,,AplPay SEPHORA.COM 877-SEPHORA,25.8
12/2/2025,,AplPay SEPHORA.COM 877-SEPHORA,38.7
12/2/2025,,AplPay SEPHORA.COM 877-SEPHORA,38.7
7/6/2025,,JO MALONE CANADA JO TORONTO,109.41
10/21/2025,,IHERB IHERB.COM IRVINE,76.93
12/20/2025,,AplPay AMC 9640 ONLILEAWOOD,35.36
6/14/2025,,MARCUS ADDISON CINE ADDISON,11.12
7/4/2025,,AXS.COM EVENT TICKET888-929-7849,127.91
9/22/2025,,TM *TICKETMASTER LOS ANGELES,750.2
12/6/2025,,TM *TICKETMASTER LOS ANGELES,130.9
9/26/2025,,DO PORTUGAL CIRCUS .BROWNSVILLE,67.78
1/23/2025,,TOKYO DISNEY RESORT CHIBA,9.64
5/10/2025,,MARGARITAVILLE BAHAMNASSAU,32.62
1/21/2025,,COSMOSKABUKICHO1CHOMTOKYO,9.78
7/3/2025,,Kananaskis Mountain Kananaskis Village,115.21
5/15/2025,,PLATOS NASSAU,20
12/25/2024,,MANDARINA GUANACASTE,22.38
7/7/2025,,JEWELERS-MUTUAL-PMNT800-558-6411,188
11/17/2025,,"BT*SHUTTERFLY, INC. REDWOOD CITY",99.38
12/9/2025,,BT*CYCLE TRADER-PAA VIRGINIA BEACH,22.99
10/24/2025,,RENEWAL MEMBERSHIP FEE,195
10/11/2025,,SERVICE FEE 00000000FRANKLIN,-2.5
10/11/2025,,SERVICE FEE 00000000FRANKLIN,2.5
10/7/2025,,SERVICE FEE 00000000FRANKLIN,2.5
8/8/2025,,BAY TO BAY NEWS PLW TAMPA,5.99
11/2/2025,,STLR NEWS MARKET ST2PHOENIX,6.99
8/25/2025,,NEWS & GIFTS SHOPS IATLANTA,5.79
8/21/2025,,HUDSONNEWS ST858 85DES PLAINES,6.99
7/5/2025,,HUDSON ST2172 HUDSONCALGARY,4.29
8/4/2025,,GROVE ORD ROCKY MOUNCHICAGO,14.47
12/2/2025,,AplPay CTLP*OAK BROOOAKBROOK,1
1/29/2025,,CANDY SHOW TIME AIR KYOTO,3.23
10/28/2025,,13240 N SCOTTSDALE RSCOTTSDALE,12
7/24/2025,,SP ALLOURA NEWARK,35
6/24/2025,,SP ALLOURA NEWARK,37.12
8/23/2025,,SP ALLOURA NEWARK,35
9/22/2025,,SP ALLOURA NEWARK,35
12/22/2025,,SP DIVINELY FEMININEOAK BROOK,1.9
12/22/2025,,SP DIVINELY FEMININEOAK BROOK,18.95
12/20/2025,,SP DIVINELY FEMININEOAK BROOK,1.9
12/19/2025,,AplPay SP DIVINELY FOAK BROOK,1.9
12/19/2025,,SP DIVINELY FEMININEOAK BROOK,1.9
12/19/2025,,SP DIVINELY FEMININEOAK BROOK,1.9
12/19/2025,,SP DIVINELY FEMININEOAK BROOK,2
12/19/2025,,SP DIVINELY FEMININEOAK BROOK,12.95
12/18/2025,,SP DIVINELY FEMININEOAK BROOK,-18.95
12/17/2025,,SP DIVINELY FEMININEOAK BROOK,-18.95
12/16/2025,,SP DIVINELY FEMININEOAK BROOK,18.95
12/15/2025,,SP DIVINELY FEMININEOAK BROOK,18.95
12/14/2025,,SP DIVINELY FEMININEOAK BROOK,29
12/6/2025,,SP DIVINELY FEMININEOAK BROOK,-49.63
12/4/2025,,SP DIVINELY FEMININEOAK BROOK,49.63
10/14/2025,,SP DIVINELY FEMININEST. PETERSBURG,29
10/9/2025,,SP DIVINELY FEMININEST. PETERSBURG,-18.95
10/7/2025,,SP DIVINELY FEMININEST. PETERSBURG,18.95
10/2/2025,,SP DIVINELY FEMININEST. PETERSBURG,-18.95
9/30/2025,,SP DIVINELY FEMININEST. PETERSBURG,18.95
11/14/2025,,SP DIVINELY FEMININEST. PETERSBURG,29
